ProspectiveBuyerKey,ProspectAlternateKey,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,City,StateProvinceCode,PostalCode,Phone,Salutation,Unknown,BikeBuyer,PredictProbability
5,38032399400,Andrea,M,Bailey,1959-10-28 00:00:00,M,F,abailey@lucernepublishing.com,10000,2,0,Partial Co,Manual,1,0,2500 North Stemmons Freeway,,Dallas,TX,75201,1 (11) 500 555-0113,Ms.,4,1,0.63394120421317401
7,14496465921,Anna,S,Bennett,1974-03-07 00:00:00,M,F,abennett@alpineskihouse.com,50000,1,1,Bachelors,Skilled Manual,1,0,312 Via Del Verdes,,Colma,CA,94014,433-555-0112,Ms.,4,1,0.63394120421317401
9,467,Arturo,J,Bhat,1970-09-14 00:00:00,M,M,abhat@adatum.com,90000,0,0,Bachelors,Professional,1,0,7040 Isabel Dr.,,Beverly Hills,CA,90210,1 (11) 500 555-0199,Mr.,4,1,0.63394120421317401
15,75533120036,Adam,A,Carter,1963-01-23 00:00:00,S,M,acarter@margiestravel.com,70000,2,0,Graduate D,Professional,1,1,4082 Roslyn Road,,Bellingham,WA,98225,416-555-0186,Mr.,1,1,0.55209115098587702
17,2789,Alberto,,Castro,1976-06-12 00:00:00,M,M,acastro@thephone-company.com,30000,0,0,High Schoo,Manual,1,1,2696 Santa Rita Dr.,,Spokane,WA,99202,1 (11) 500 555-0146,Mr.,1,1,0.55209115098587702
18,9408,Alicia,,Chande,1972-09-14 00:00:00,S,F,achande@adatum.com,50000,2,2,Bachelors,Skilled Manual,0,1,5935 Isabel,,Berkeley,CA,94704,751-555-0139,Ms.,4,1,0.55209115098587702
19,9863,April,M,Chande,1970-03-09 00:00:00,S,F,achande@cohovineyard.com,30000,2,2,Partial Co,Manual,1,0,7939 Bayview Court,,Los Angeles,CA,90012,1 (11) 500 555-0112,Ms.,4,1,0.63394120421317401
20,214,Alvin,,Chander,1970-04-01 00:00:00,S,M,achander@cohovineyard.com,30000,1,1,Bachelors,Clerical,1,1,6538 Camelback Road,,Los Angeles,CA,90012,1 (11) 500 555-0151,Mr.,4,1,0.55209115098587702
21,3309,Ashlee,,Chander,1943-02-19 00:00:00,S,F,achander@lucernepublishing.com,10000,2,0,Bachelors,Clerical,1,1,9178 Camino Solano,,Dallas,TX,75201,1 (11) 500 555-0112,Ms.,4,1,0.55209115098587702
25,21534748700,Adam,,Coleman,1981-07-08 00:00:00,S,M,acoleman@alpineskihouse.com,20000,0,0,High Schoo,Manual,1,1,2964 St. George Dr.,,Colma,CA,94014,1 (11) 500 555-0189,Mr.,4,1,0.55209115098587702
29,36135289072,Alexandria,L,Cooper,1971-12-07 00:00:00,S,F,acooper@cohovineyard.com,120000,0,0,Bachelors,Management,1,3,1624 Carlisle Way,,Redwood City,CA,94063,295-555-0145,Ms.,4,1,0.56077962044793983
30,53125457763,Alexis,M,Davis,1963-04-05 00:00:00,M,F,adavis@consolidatedmessenger,30000,0,0,Bachelors,Clerical,1,0,6900 William Richardson Ct.,,South Bend,IN,46601,1 (11) 500 555-0183,Ms.,3,1,0.63394120421317401
31,53315894603,Abigail,,Davis,1959-12-22 00:00:00,S,F,adavis@fabrikam.com,130000,3,4,Partial Co,Professional,0,3,70 N.w. Plaza,,Saint Ann,MO,63074,1 (11) 500 555-0187,Ms.,0,1,0.56077962044793983
